Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType,English
,【ED②  クリアタイム普通】,,,,,,,,,,,
Bg,307_shadow,0.5,,,,,,,,,,
Text,,20,100,,,,,はぁ…はぁ……,,,,
Text,,20,100,,,,,息を切らしながらも、辺りを見渡して友人の姿を探した。,,,,
Text,,20,100,,,,,…！！あそこにいるのは…！,,,,
Text,,20,100,,,,,見覚えのある人影を見つけ、すぐさま駆け寄った。,,,,
Bg,307_normal,0.5,,,,,,,,,,
Text,,20,100,,,,,おい！何してるんだよ！,,,,
Bg,307_surprise,0.5,,,,,,,instant,,,
Text,,20,100,,,,,うおっ、ビックリした！なんだよ〜！お前もここにいたのかよ！教えてくれたら良かったのに！,,,,
Text,,20,100,,,,,いいから早く降りるぞ！急げ！,,,,
Bg,307_danger,0.5,,,,,,,instant,,,
#Glitch,,,,enable,,,,,,,,
Wait,500,,,,,,,,,,,
Text,,15,100,,,,,え？何かあっ,,,,
#Glitch,,,,disable,,,,,,,,
Bg,blood,0,,,,,,,instant,,,
#Shake,1,30,,,,,,,,,,
#Fade,1,,,,,,,,,,,
