Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType,English
,,,,,,,,,,,,
Bg,307_shadow,0.5,,,,,,,,,,
Text,,20,100,,,,,はぁ…はぁ……,,,,
Text,,20,100,,,,,息を切らしながらも、辺りを見渡して友人の姿を探した。,,,,
Text,,20,100,,,,,…！！あそこにいるのは…！,,,,
Text,,20,100,,,,,前方に人影を見つけ、すぐさま駆け寄った。,,,,
Bg,307_normal,0.5,,,,,,,,,,
Text,,20,100,,,,,おい！何してるんだよ！,,,,
Bg,307_smile,0.5,,,,,,,instant,,,
Text,,20,100,,,,,うおっ、ビックリした！なんだよ～！お前もここにきたのか！久々だな！,,,,
Text,,20,100,,,,,いいから早く降りるぞ！急げ！,,,,
Bg,307_surprise,0.5,,,,,,,instant,,,
Text,,20,100,,,,,ん？何かあったのか？,,,,
Text,,20,100,,,,,あとで話す！とにかく山を…,,,,
Text,,20,100,,,,,一緒に急いで下山しようと、友人の腕を掴んだ時、ふと自分は疑問に思った。,,,,
#Glitch,,,,enable,,,,,,,,
Bg,307_black,0.5,,,,,,,instant,,,
Text,,5,100,,,,,<color=#FD6233>…あれ、こんな「友人」…いたっけ？</color>,,,,
Text,,20,100,,,,,はっとして周囲を見渡すと、あの時感じた得体のしれない恐怖が、目の前にいた。,,,,
Bg,307_smile,0.5,,,,,,,instant,,,
Text,,20,100,,,,,そうか。もうすぐ日も暮れるもんな。急がなきゃな。,,,,
Text,,20,100,,,,,…お前、一体…,,,,
Text,,20,100,,,,,いやぁ、お前を呼んで良かったよ！会えて嬉しいよ！さ、急がなきゃ、下山しようか！,,,,
Text,,20,100,,,,,ち、違う…俺はお前なんて知らない！お前…な、何なんだよ…！？,,,,
Bg,307_black,0.5,,,,,,,instant,,,
Text,,20,100,,,,,おれ？なに言ッてんだよ～！おれはお前の友達だよ！久々だな！下山しよ、しようか、急がなきゃ！,,,,
Text,,20,100,,,,,さあ、急イで山を降りよう？モうすぐ夜だし、急がなきゃ。早ク帰らないと急がなきゃ。山を降り急がなきゃ。降りな急がなきゃ。山ニ帰ら急がなきゃ。急がなきゃ。,,,,
Bg,307_true,0.5,,,,,,,instant,,,
Text,,20,100,,,,,<color=#FD6233>急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ急がなきゃ</color>,,,,
#Shake,2,40,,,,,,,instant,,,
Bg,ED4,0.5,,,,,,,instant,,,
#Shake,1.5,20,,,,,,,,,,
Bg,Blood,0.5,,,,,,,,,,
